id,title
1,Carmencita
2,Le clown et ses chiens
3,Pauvre Pierrot
4,Un bon bock
5,Blacksmith Scene
6,Chinese Opium Den
7,Corbett and Courtney Before the Kinetograph
8,Edison Kinetoscopic Record of a Sneeze
9,Miss Jerry
10,Leaving the Factory
11,Akrobatisches Potpourri
12,The Arrival of a Train
13,The Photographical Congress Arrives in Lyon
14,The Waterer Watered
15,Autour d'une cabine
16,Boat Leaving the Port
17,Italienischer Bauerntanz
18,Das boxende Känguruh
19,The Clown Barber
20,The Derby 1895
22,Blacksmith Scene
23,The Sea
24,Opening of the Kiel Canal
25,The Oxford and Cambridge University Boat Race
26,The Messers. Lumière at Cards
27,Cordeliers' Square in Lyon
28,Fishing for Goldfish
29,Baby's Meal
30,Rough Sea at Dover
31,Jumping the Blanket
32,Die Serpentintänzerin
33,Horse Trick Riders
34,Arrivée d'un train gare de Vincennes
35,Watering the Flowers
36,Awakening of Rip
37,Sea Bathing
38,The Ball Game
39,Barnet Horse Fair
40,Barque sortant du port de Trouville
41,Bataille de neige
42,Bateau-mouche sur la Seine
43,Batteuse à vapeur
44,Le bivouac
45,Les blanchisseuses
46,Bois de Boulogne
47,Boulevard des Italiens
48,The Boxing Kangaroo
49,"Boxing Match; or, Glove Contest"
50,Bébé et fillettes
51,The Bohemian Encampment
52,Ruraux au galop
53,A Chegada do Comboio Inaugural à Estação Central do Porto
54,A Merry-Go-Round
55,Le chiffonnier
56,Uma Corrida de Touros no Campo Pequeno
57,Cortège de tzar allant à Versailles
58,Cortège de tzar au Bois de Boulogne
59,Coronation of a Village Maiden
60,Dancing Darkies
61,Dancing Girls
62,Danse serpentine
63,Dessinateur express
64,Dessinateur: Chamberlain
65,Dessinateur: Reine Victoria
66,Dessinateur: Von Bismark
67,Conjurer Making Ten Hats in Sixty Seconds
68,Unloading the Boat
69,Post No Bills
70,Demolition of a Wall
71,Automobiles Starting a Race
72,Officers of French Army Leaving Service
73,Effets de mer sur les rochers
74,Enfants jouant sur la plage
75,The Conjuring of a Woman at the House of Robert Houdin
76,Exit of Rip and the Dwarf
77,"Le fakir, mystère indien"
78,Feira de Gado na Corujeira
79,La gare Saint-Lazare
80,Grandes manoeuvres
81,Towing a Boat on the River
82,A Hard Wash
83,Les indiscrets
84,Les ivrognes
85,Gardener Burning Weeds
86,"Beach and Pier at Trouville, 1st part"
87,"Beach and Pier at Trouville, 2nd part"
88,Market Day
89,Leaving Jerusalem by Railway
90,Libération des territoriaux
91,The House of the Devil
92,Marée montante sur Brise-Larmes
93,Melbourne
94,Miss de Vere
95,The Mysterious Paper
96,Place Saint-Augustin
97,"Place de l'Opéra, First View"
98,"Place de l'Opéra, Second View"
99,Place de la Bastille
100,Place de la Concorde
101,Place du théâtre français
102,The Beach at Villiers in a Gale
