id,title
236,Courte échelle
237,Le crucifiement
238,Les dangers de l'alcoolisme
239,Danse serpentine par Mme. Bob Walter
240,Distributing a War Extra
241,La descente de croix
242,The Sign of the Cross
243,Le déjeuner des enfants
244,Erreur judiciaire
245,The Haunted House
246,A Turn of the Century Illusionist
247,King John
248,A Kiss in the Tunnel
249,The Legacy
250,Llegada del vapor Bellver a Mallorca
251,Matches: An Appeal
252,La mauvaise soupe
253,The Miser's Doom
254,Monnaie de lapin
255,Mésaventure d'un charbonnier
256,Panorama from the Tower of the Brooklyn Bridge
257,La résurrection
258,Le tondeur de chiens
259,Le tonnelier
260,Transformations
261,A Midnight Episode
262,Un lunch
263,"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria"
264,Summoning the Spirits
265,Above the Limit
266,Above the Speedway
267,L'angélus
268,L'arléquine
269,"Army Life; or, How Soldiers Are Made: Mounted Infantry"
270,Arrivée d'Arléquin
271,Arrivée de Pierette et Pierrot
272,As Seen Through a Telescope
273,Attack on a China Mission
274,Avenue de l'opéra
275,Badinage
276,Bataille d'oreillers
277,Bataille de boules de neige
278,Buffalo Bill's Show Parade
279,Buffalo Bill's Wild West Parade
280,Buffalo Bill's Wild West Parade
281,Buffalo Bill's Wild West Show
282,Le bébé
283,Chez le Maréchal-Ferrant
284,Chez le photographe
285,Chinese Magic
286,Chirurgie fin de siècle
287,The Clown and the Alchemist
288,La concierge
289,Coucher d'une Parisienne
290,Dance de l'ivresse
291,Dans les coulisses
292,Danse du papillon
293,Danse du pas des foulards par des almées
294,La danse du ventre
295,Danse du voile
296,Danse serpentine
297,Danses
298,Déclaration d'amour
299,Le départ d'Arlequin et de Pierrette
300,The Enchanted Drawing
301,Faust and Marguerite
302,"La fée aux choux, ou la naissance des enfants"
303,Gavotte directoire
304,Grandma's Reading Glass
305,L'Habanera
306,Le duel d'Hamlet
307,Happy Hooligan
308,The House That Jack Built
309,How It Feels to Be Run Over
310,Chimmie Hicks and the Rum Omelet
312,Le lapin
313,Let Me Dream Again
314,Leçon de danse
315,Le marchand de coco
316,Marché à la volaille
317,Le matelot
318,Eine moderne Jungfrau von Orleans
319,Maple Leaf Viewing
320,Mort d'Adonis
321,The Mystic Swing
322,Panorama de Barcelona: monumentos y fiestas
323,Pas Japonais
324,Pas de grâce
325,Pas des éventails
326,Pas du poignard
327,La paysanne
328,La petite magicienne
329,Le Polichinelle
330,La poupée noire
331,La reine des jouets
332,Retour des champs
333,Le sang d'Adonis donnant naissance à la rose rouge
334,Saut humidifié de M. Plick
335,Soldiers of the Cross
336,La source
337,Spanish Bullfight
338,Suite de la danse
339,La tarentelle
340,Uncle Josh in a Spooky Hotel
341,Uncle Josh's Nightmare
342,Une rage de dents
343,Valse directoire
344,Valse lente
345,L'écossaise
346,Another Job for the Undertaker
347,Buffalo Bill's Wild West Parade
348,Charmant froufrou
349,"What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant"
350,The Countryman's First Sight of the Animated Pictures
351,Danses basques
352,Day at the Circus
353,Execution of Czolgosz with Panorama of Auburn Prison
354,Exercício de Artilharia no Hipódromo de Belém
355,Fire!
356,Frivolité
357,The Haunted Curiosity Shop
358,History of a Crime
359,The India Rubber Head
360,Hussards et grisettes
361,Lavatory moderne
362,Lecture quotidienne
363,Magical Sword
364,Panorama of Esplanade by Night
365,Parada de Bombeiros
366,Uma Parada dos Alunos da Casa Pia de Lisboa
367,Pas de colombine
368,Little Red Riding Hood
369,A Road for Children's Bicycles in Barcelona
370,Scrooge; or Marley's Ghost
371,Scène d'amour
372,Scène d'ivresse
373,The Devil's Seven Castles
374,Tel est pris qui croyait prendre
375,Uma Tourada à Antiga Portuguesa
376,A táncz
377,Undressing Extraordinary
378,Les vagues
379,Visita de la escuadra inglesa a Barcelona
380,Sleeping Beauty
